# x, y, theta, v_l, v_r
12.20, 441.22, 1.391, 99.90, 99.90
12.38, 442.21, 1.391, 99.90, 99.90
12.56, 443.19, 1.391, 99.90, 99.90
12.74, 444.17, 1.391, 99.90, 99.90
12.91, 445.16, 1.391, 99.90, 99.90
13.09, 446.14, 1.391, 99.90, 99.90
13.27, 447.12, 1.391, 99.90, 99.90
13.45, 448.11, 1.391, 99.90, 99.90
13.63, 449.09, 1.391, 99.90, 99.90
13.81, 450.07, 1.391, 99.90, 99.90
13.99, 451.05, 1.391, 99.90, 99.90
14.17, 452.04, 1.391, 99.90, 99.90
14.34, 453.02, 1.391, 99.90, 99.90
14.52, 454.00, 1.391, 99.90, 99.90
14.70, 454.99, 1.391, 99.90, 99.90
14.88, 455.97, 1.391, 99.90, 99.90
15.06, 456.95, 1.391, 99.90, 99.90
15.24, 457.93, 1.391, 99.90, 99.90
15.42, 458.92, 1.391, 99.90, 99.90
15.60, 459.90, 1.391, 99.90, 99.90
15.77, 460.88, 1.391, 99.90, 99.90
15.95, 461.87, 1.391, 99.90, 99.90
16.13, 462.85, 1.391, 99.90, 99.90
16.31, 463.83, 1.391, 99.90, 99.90
16.49, 464.81, 1.391, 99.90, 99.90
16.67, 465.80, 1.391, 99.90, 99.90
16.85, 466.78, 1.391, 99.90, 99.90
17.03, 467.76, 1.391, 99.90, 99.90
17.20, 468.75, 1.391, 99.90, 99.90
17.38, 469.73, 1.391, 99.90, 99.90
17.56, 470.71, 1.391, 99.90, 99.90
17.74, 471.70, 1.391, 99.90, 99.90
17.92, 472.68, 1.391, 99.90, 99.90
18.10, 473.66, 1.391, 99.90, 99.90
18.28, 474.64, 1.391, 99.90, 99.90
18.46, 475.63, 1.391, 99.90, 99.90
18.63, 476.61, 1.391, 99.90, 99.90
18.81, 477.59, 1.391, 99.90, 99.90
18.99, 478.58, 1.391, 99.90, 99.90
19.17, 479.56, 1.391, 99.90, 99.90
19.35, 480.54, 1.391, 99.90, 99.90
19.53, 481.52, 1.391, 99.90, 99.90
19.71, 482.51, 1.391, 99.90, 99.90
19.88, 483.49, 1.391, 99.90, 99.90
20.06, 484.47, 1.391, 99.90, 99.90
20.24, 485.46, 1.391, 99.90, 99.90
20.42, 486.44, 1.391, 99.90, 99.90
20.60, 487.42, 1.391, 99.90, 99.90
20.77, 488.40, 1.401, 98.92, 99.90
20.94, 489.39, 1.401, 99.90, 99.90
21.11, 490.37, 1.410, 98.92, 99.90
21.26, 491.36, 1.410, 99.90, 99.90
21.42, 492.34, 1.410, 99.90, 99.90
21.58, 493.33, 1.410, 99.90, 99.90
21.74, 494.31, 1.420, 98.92, 99.90
21.89, 495.30, 1.420, 99.90, 99.90
22.03, 496.28, 1.430, 98.92, 99.90
22.17, 497.27, 1.430, 99.90, 99.90
22.31, 498.26, 1.430, 99.90, 99.90
22.45, 499.25, 1.430, 99.90, 99.90
22.37, 499.94, 1.940, 48.88, 99.90
22.01, 500.87, 1.940, 99.90, 99.90
21.65, 501.80, 1.940, 99.90, 99.90
21.29, 502.74, 1.940, 99.90, 99.90
20.93, 503.67, 1.940, 99.90, 99.90
20.56, 504.60, 1.940, 99.90, 99.90
20.13, 504.99, 2.451, 48.88, 99.90
19.70, 505.79, 1.940, 99.90, 48.88
19.62, 506.57, 1.430, 99.90, 48.88
19.90, 507.11, 0.920, 99.90, 48.88
20.19, 507.93, 1.420, 49.85, 99.90
20.34, 508.91, 1.420, 99.90, 99.90
20.49, 509.90, 1.420, 99.90, 99.90
20.64, 510.89, 1.420, 99.90, 99.90
20.79, 511.88, 1.420, 99.90, 99.90
20.94, 512.87, 1.420, 99.90, 99.90
21.09, 513.85, 1.420, 99.90, 99.90
21.02, 514.55, 1.921, 49.85, 99.90
20.67, 515.48, 1.931, 98.92, 99.90
20.32, 516.42, 1.931, 99.90, 99.90
19.97, 517.34, 1.940, 98.92, 99.90
19.61, 518.28, 1.940, 99.90, 99.90
19.24, 519.21, 1.940, 99.90, 99.90
18.88, 520.14, 1.940, 99.90, 99.90
18.52, 521.07, 1.940, 99.90, 99.90
18.16, 522.00, 1.940, 99.90, 99.90
17.80, 522.93, 1.940, 99.90, 99.90
17.44, 523.87, 1.940, 99.90, 99.90
17.08, 524.80, 1.940, 99.90, 99.90
16.72, 525.73, 1.940, 99.90, 99.90
16.36, 526.66, 1.940, 99.90, 99.90
16.00, 527.59, 1.940, 99.90, 99.90
15.64, 528.52, 1.940, 99.90, 99.90
15.28, 529.45, 1.940, 99.90, 99.90
14.92, 530.39, 1.940, 99.90, 99.90
14.55, 531.32, 1.940, 99.90, 99.90
14.19, 532.25, 1.940, 99.90, 99.90
13.83, 533.18, 1.940, 99.90, 99.90
13.47, 534.11, 1.940, 99.90, 99.90
13.11, 535.04, 1.940, 99.90, 99.90
12.75, 535.98, 1.940, 99.90, 99.90
12.39, 536.91, 1.940, 99.90, 99.90
12.31, 537.68, 1.430, 99.90, 48.88
12.45, 538.67, 1.430, 99.90, 99.90
12.59, 539.66, 1.430, 99.90, 99.90
12.73, 540.65, 1.430, 99.90, 99.90
12.87, 541.64, 1.430, 99.90, 99.90
13.01, 542.63, 1.430, 99.90, 99.90
13.15, 543.61, 1.430, 99.90, 99.90
13.29, 544.60, 1.430, 99.90, 99.90
13.43, 545.59, 1.430, 99.90, 99.90
13.57, 546.58, 1.430, 99.90, 99.90
13.71, 547.57, 1.430, 99.90, 99.90
13.85, 548.56, 1.430, 99.90, 99.90
13.99, 549.55, 1.430, 99.90, 99.90
14.13, 550.54, 1.430, 99.90, 99.90
14.27, 551.53, 1.430, 99.90, 99.90
14.41, 552.52, 1.430, 99.90, 99.90
14.55, 553.51, 1.430, 99.90, 99.90
14.69, 554.50, 1.430, 99.90, 99.90
14.83, 555.48, 1.430, 99.90, 99.90
14.97, 556.47, 1.430, 99.90, 99.90
15.11, 557.46, 1.430, 99.90, 99.90
15.25, 558.45, 1.430, 99.90, 99.90
15.39, 559.44, 1.430, 99.90, 99.90
15.53, 560.43, 1.430, 99.90, 99.90
15.67, 561.42, 1.430, 99.90, 99.90
15.81, 562.41, 1.430, 99.90, 99.90
15.95, 563.40, 1.430, 99.90, 99.90
16.09, 564.39, 1.430, 99.90, 99.90
16.23, 565.38, 1.430, 99.90, 99.90
16.37, 566.36, 1.430, 99.90, 99.90
16.51, 567.35, 1.430, 99.90, 99.90
16.65, 568.34, 1.430, 99.90, 99.90
16.79, 569.33, 1.430, 99.90, 99.90
16.93, 570.32, 1.430, 99.90, 99.90
17.07, 571.31, 1.430, 99.90, 99.90
17.21, 572.30, 1.430, 99.90, 99.90
17.35, 573.29, 1.430, 99.90, 99.90
17.49, 574.28, 1.430, 99.90, 99.90
17.63, 575.27, 1.430, 99.90, 99.90
17.77, 576.26, 1.430, 99.90, 99.90
17.91, 577.25, 1.430, 99.90, 99.90
18.05, 578.23, 1.430, 99.90, 99.90
18.19, 579.22, 1.430, 99.90, 99.90
